id,sentence,coarse,fine,pol,asp
477,*Batch Size*,Structuring,Structuring.Summary,,
478,"Though the algorithm can be easily extended to the min-batch case, the author should discuss more how the batch size is interpreted in this case (i.e. minimizing w.r.t. a larger block of dual variables belonging to the batch of samples) and the algorithmic block (Algorithm 1) should be presented in a way reflecting the batch size since this is the way people use an algorithm in practice (to improve the utilization rate of a GPU).",Request,Request.Edit,P-Positive,Substance
479,*Convex-Conjugate Loss*,Structuring,Structuring.Heading,,
480,The Dual FW algorithm does not need to be used along with the hinge loss (SVM loss).,Fact,Fact,,
481,All convex loss function can derive a dual formulation based on its convex-conjugate.,Fact,Fact,,
482,"See [1,2] for examples.",Structuring,Structuring.Heading,,
483,It would be more insightful to compare SGD vs dual-BCFW when both of them are optimizing the same loss functions (either hinge loss or cross-entropy loss) in the experimental comparison.,Request,Request.Experiment,P-Positive,Substance
484,"[1] Shalev-Shwartz, Shai, and Tong Zhang. ""Stochastic dual coordinate ascent methods for regularized loss minimization."" JMLR (2013)",Social,Social,,
485,"[2] Tomioka, Ryota, Taiji Suzuki, and Masashi Sugiyama. ""Super-linear convergence of dual augmented Lagrangian algorithm for sparsity regularized estimation."" JMLR (2011).",Social,Social,,
486,*BCFW vs BCD*,Structuring,Structuring.Heading,,
487,"Actually, (Lacoste-Julien, S. et al., 2013) proposes Dual-BCFW to optimize structural SVM because the problem contains exponentially many number of dual variables.",Fact,Fact,,
488,For typical multiclass hinge loss problem the Dual Block-Coordinate Descent that minimizes w.r.t. all dual variables of a sample in a closed-form update converges faster without extra computational cost.,Fact,Fact,,
489,"See the details in, for example, [3, appendix for the multiclass hinge loss case].",Structuring,Structuring.Heading,,
490,"[3] Fan, Rong-En, et al. ""LIBLINEAR: A library for large linear classification."" JMLR (2008).",Social,Social,,
491,*Hyper-Parameter*,Structuring,Structuring.Heading,,
492,"The proposed dual-BCFW still contains a hyperparameter (eta) due to the need to introduce a convex subproblem, which makes its number of hyperparameters still the same to SGD.",Evaluative,Evaluative,N-Negative,Substance
493,"This paper proposes a pair of LSTM networks, one of which estimates the current strategy at iteration t+1 and the other estimates the average strategy after t iterations.",Structuring,Structuring.Summary,,
494,"By using these networks within a CFR framework, the authors manage to avoid huge memory requirements traditionally needed to save cumulative regret and average strategy values for all information sets across many iterations.",Structuring,Structuring.Summary,,
495,"The neural networks are trained via a novel sampling method with lower variance/memory-requirements that outcome/external sampling, and are amendable to continual improvement by warm-starting the networks based on cloned tabular regret values.",Structuring,Structuring.Summary,,
496,"Overall, the paper is well-written with clear definitions/explanations plus  comprehensive ablation-analyses throughout, and thus constitutes a nice addition to the recent literature on leveraging neural networks for IIG.",Evaluative,Evaluative,P-Positive,Clarity|Substance
497,"I did not find many flaws to point out, except I believe the paper could benefit from more extensive  comparisons in Figure 4A against other IIG methods such as Deep Stack, as well as comparing on much larger IIG settings with many more states to see how the neural CFR methods hold up in the regime where they are most needed.",Request,Request.Experiment,N-Negative,Substance
498,"Typo:  ""care algorithm design"" -> ""careful algorithm design""",Request,Request.Typo,N-Negative,Clarity
499,"The paper is well written and the main contribution, a methodology to find “blind-spot attacks” well motivated and differences to prior work stated clearly.",Evaluative,Evaluative,P-Positive,Motivation/Impact|Clarity
500,The empirical results presented in Figure 1 and 2 are very convincing.,Evaluative,Evaluative,P-Positive,Substance
501,"The gain of using a sufficiently more complicated approach to assess the overall distance between the test and training dataset is not clear, comparing it to the very insightful histograms.",Evaluative,Evaluative,P-Positive,Substance
502,"Why for example not using a simple score based on the histogram, or even the mean distance?",Request,Request.Explanation,U-Neutral,Meaningful Comparison
503,Of course providing a single measure would allow to leverage that information during training.,Fact,Fact,,
504,"However, in its current form this seems rather complicated and computationally expensive (KL-based).",Evaluative,Evaluative,N-Negative,Soundness/Correctness
505,As stated later in the paper the histograms themselves are not informative enough to detect such blind-spot transformation.,Fact,Fact,,
506,Intuitively this makes a lot of sense given that the distance is based on the network embedding and is therefore also susceptible to this kind of data.,Evaluative,Evaluative,P-Positive,Motivation/Impact
507,"However, it is not further discussed how the overall KL-based data similarity measure would help in this case since it seems likely that it would also exhibit the same issue.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
508,— Summary,Structuring,Structuring.Heading,,
509,"The method extends [21], which proposes an unordered set prediction model for multi-class classification.",Structuring,Structuring.Summary,,
510,"For that problem, [21] can assume logistic outputs for all distinct classes.",Structuring,Structuring.Summary,,
511,"This work extends set prediction to the object detection task, where box identity is not distinct — this is handled by an additional model output that reasons about the most likely object permutations.",Structuring,Structuring.Summary,,
512,"The permutation predictions are used during training, but are not needed at inference time — as shown in Fig1 and Eq 7.",Structuring,Structuring.Summary,,
513,Results are on detection of overlapping objects and a CAPTCHA toy summation example.,Structuring,Structuring.Summary,,
514,— Clarity,Structuring,Structuring.Heading,,
515,The exposition is not particularly clear in several places:,Evaluative,Evaluative,N-Negative,Clarity
516,- U^m in Eq 1 is undefined and un-discussed.,Evaluative,Evaluative,N-Negative,Clarity
517,"What probability term does it correspond to? It is supposed to make probabilities of different cardinalities comparable, but the exact mechanism is unclear.",Request,Request.Clarification,N-Negative,Clarity
518,- The term p(w) disappears on the left hand side of Eq 2.,Evaluative,Evaluative,N-Negative,Soundness/Correctness
519,"- Notation in Sec. 3.2 is very cumbersome, making it hard to follow.",Evaluative,Evaluative,N-Negative,Clarity
520,"Furthermore, I found the description ambiguous, preventing me from understanding how exactly the permutation head output is used in Eq 5.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
521,"Specifically, there is some confusion about estimation of w~, which seems based on frequency estimation from past SGD iterations (Eq 3).",Evaluative,Evaluative,N-Negative,Soundness/Correctness
522,"If so, why does term f2 in Eq 5 contain the permutation head output O2 and how do the two relate?",Request,Request.Clarification,N-Negative,Soundness/Correctness
523,"- The network architecture is never described, especially the transition from Conv to Dense and the layer sizes, making the work hard to reproduce.",Evaluative,Evaluative,N-Negative,Replicability
524,The dimensions of the convolutional feature map matter (probably need to be kept tractable).,Fact,Fact,,
525,— Significance,Structuring,Structuring.Heading,,
526,"Key aspects of the model are not particularly clear, specifically about how the permutation prediction ( the key novelty here) is used to benefit training.",Evaluative,Evaluative,N-Negative,Clarity
527,"— Term f2 in Eq5 uses w~ estimates, which appeared to be based on statistics from past SGD runs, yet also depends on the output of the permutation head O2. Am I misinterpreting the method?",Request,Request.Clarification,N-Negative,Soundness/Correctness
528,"— In the paragraph right after Eq5, it’s claimed that “Empirically, in our applications, we found out that estimation of the permutations from just f1 [in Eq5] is sufficient to train properly … by using the Hungarian algorithm”. So then f2 term is not even used in. Eq5? If so, what is the significance of the permutation head other than adding an auxiliary loss?",Request,Request.Clarification,N-Negative,Soundness/Correctness
529,"Furthermore, there are no experimental results demonstrating the effect of the permutation head and the design choices above — if we could get by with only using the Hungarian algorithm, why bother classifying an exponential number of permutations? Do they help when added as an auxiliary loss?",Request,Request.Explanation,N-Negative,Soundness/Correctness
530,"While the failure of NMS to detect overlapping objects is expected, the experiments showing that perm-set prediction handles them well is interesting and promising.",Evaluative,Evaluative,P-Positive,Substance
531,"Solving the general case with larger images and many instances would increase the impact significantly — and likely require a combination of perm-set prediction and image tiling, although this is just a hypothesis.",Fact,Fact,,
532,"The Captcha toy example also shows some interesting behavior emerging — without digit-specific annotations (otherwise it would be multi-class classification setup from [21]), the model can handle the majority of summations correctly.",Evaluative,Evaluative,P-Positive,Substance
533,— Experimental results,Structuring,Structuring.Heading,,
534,The results are interesting proofs-of-concept but a few more experiments/answers would be helpful:,Request,Request.Experiment,U-Neutral,Substance
535,- It still appears that PR curve in the high-precision regime (fig 3b) has lower precision than FRCNN/YOLO.,Structuring,Structuring.Quote,,
536,Any idea as to why?,Request,Request.Clarification,U-Neutral,Soundness/Correctness
537,"- Ablation results on the effect of the permutation predictions vs Hungarian algorithm, etc would be helpful, as discussed above.",Request,Request.Experiment,U-Neutral,Meaningful Comparison
538,"- How sensitive is the method to seeing a certain cardinality? What if it never sees 3 pedestrians in an image, but only 1,2,4 will it fail to predict 3? Or alternatively, if we train a model that can handle up to 5-6 entities with examples than have <=4? What is the right way of data augmentation for this model (was there any and should there be?)",Request,Request.Explanation,U-Neutral,Clarity
539,"- Given that values for U differ across applications, how sensitive is the output / how much sweeping did you have to do?",Request,Request.Explanation,U-Neutral,Clarity
540,-- Related work,Structuring,Structuring.Heading,,
541,To the best of my knowledge it's representative.,Fact,Fact,,
542,It would help to cite more recent work that decreases detector dependence on NMS.,Request,Request.Edit,U-Neutral,Meaningful Comparison
543,"For example, ""Learning Non-Maximum Suppression"", Hosang, Benenson, Schiele, CVPR 2017 or ""Relation Networks for Object Detection"", by Hu et al, CVPR 2018 and references therein.",Other,Other,,
579,This paper proposes an extension to the continual learning framework using existing variational continual learning (VCL) as the base method.,Structuring,Structuring.Summary,,
580,"In particular, it proposes to use the weight of evidence (WE) (from Zintgraf et al 2017) for each task.",Structuring,Structuring.Summary,,
581,"Firstly, this WE can be used to visualize the learned model (as used in Zintgraf et. al. 2017).",Structuring,Structuring.Summary,,
582,The novelty of this paper is:,Structuring,Structuring.Heading,,
583,1. to use this WE from the current task to generate a silence map (by smoothing the WE) for the next task.,Structuring,Structuring.Summary,,
584,This is interpreted the learned the learned attention region.,Structuring,Structuring.Summary,,
585,Such an approach is named Interpretable COntinual Learning (ICL),Structuring,Structuring.Summary,,
586,2. The paper proposes a metric for the saliency map naming FSM which is an extension of existing metric SSR.,Structuring,Structuring.Summary,,
587,"The extension is to take pixel count to compute the area instead of using rectangular region area, as well as taking the distance between pixels into account.",Structuring,Structuring.Summary,,
588,This metric can be used to evaluate the level of catastrophic forgetting.,Structuring,Structuring.Summary,,
589,Pro:,Structuring,Structuring.Heading,,
590,"In general, the idea is very intuitive and make sense.",Evaluative,Evaluative,P-Positive,Motivation/Impact
591,The paper also demonstrates superior performance with the proposed method on continual learning on all classic tasks comparing with VCL and EWC.,Evaluative,Evaluative,P-Positive,Substance
592,The presentation is very easy to follow.,Evaluative,Evaluative,P-Positive,Clarity
593,It seems like a valid and flexible extension that can be used in other continual learning frameworks.,Evaluative,Evaluative,P-Positive,Motivation/Impact
595,The theoretical contribution is very limited.,Evaluative,Evaluative,N-Negative,Originality
596,The work is rather incremental from current state-of-the-art methods.,Evaluative,Evaluative,N-Negative,Originality
597,There should be a better discussion of related work on the topic.,Evaluative,Evaluative,N-Negative,Meaningful Comparison
598,"The paper currently only mentions the most related work for the proposed method,  using the whole section 2 to describe VCL and use section 3 to describe FSM and half of section 5 to describe SSR.",Evaluative,Evaluative,N-Negative,Meaningful Comparison
599,A general overview of related work in these directions are needed.,Request,Request.Edit,U-Neutral,Clarity
600,Other:,Structuring,Structuring.Heading,,
601,1. The paper should also consider more recently proposed evaluation metrics such as discussed in https://arxiv.org/pdf/1805.09733.pdf,Request,Request.Experiment,U-Neutral,Replicability
602,2. The author should try to avoid using yellow color in plots.,Request,Request.Edit,U-Neutral,Clarity
603,"The primary innovation of this paper seems focused towards increasing the generalization of GANs, while also maintaining convergence and preventing mode collapse.",Structuring,Structuring.Summary,,
604,"The authors first discuss common pitfalls concerning the generalization capability of discriminators, providing analytical underpinnings for their later experimental results.",Structuring,Structuring.Summary,,
605,"Specifically, they address the problem of gradient explosion in discriminators.",Structuring,Structuring.Summary,,
606,The authors then suggest that a zero-centered gradient penalty (0-GP) can be helpful in addressing this issue.,Structuring,Structuring.Summary,,
607,"0-GPs are regularly used in GANs, but the authors point out that the purpose is usually to  provide convergence, not to increase generalizability.",Structuring,Structuring.Summary,,
608,"Non-zero centered penalties can give a convergence guarantee but, the authors, assert, can allow overfitting.",Structuring,Structuring.Summary,,
609,A 0-GP can give the same guarantees but without allowing overfitting to occur.,Fact,Fact,,
610,"The authors then verify these assertions through experimentation on synthetic data, as well as MNIST and ImageNet.",Structuring,Structuring.Summary,,
611,My only issue here is that very little information was given about the size of the training sets. Did they use all the samples?,Request,Request.Experiment,N-Negative,Substance
612,Some portion? It is not clear from reading. This would be a serious impediment to reproducibility.,Evaluative,Evaluative,N-Negative,Clarity
613,"All in all, however, the authors provide a convincing  combination of analysis and experimentation.",Evaluative,Evaluative,P-Positive,Substance
614,I believe this paper should be accepted into ICLR.,Fact,Fact,,
615,"Note: there is an error on page 9, in Figure 3.",Request,Request.Typo,U-Neutral,Substance
616,The paragraph explanation should list that the authors' 0-GP is figure 3(e).,,,,
617,They list (d) twice.,,,,
618,The authors proposed an AutoLoss controller that can learn to take actions of updating different parameters and using different loss functions.,Structuring,Structuring.Summary,,
620,1. Propose a unified framework for different loss objectives and parameters.,Evaluative,Evaluative,P-Positive,Originality
621,2. An interesting idea in meta learning for learning loss objectives/schedule.,Evaluative,Evaluative,P-Positive,Originality
623,"1. The formulation uses REINFORCE, which is often known with high variance.",Evaluative,Evaluative,N-Negative,Substance
624,Are the results averaged across different runs? Can you show the variance?,Request,Request.Edit,U-Neutral,Substance
625,It is hard to understand the results without discussing it.,Request,Request.Clarification,N-Negative,Clarity
626,The sample complexity should be also higher than traditional approaches.,Evaluative,Evaluative,U-Neutral,Soundness/Correctness
627,2. It is hard to understand what the model has learned compared to hand-crafted schedule. Are there any analysis other than the results alone?,Request,Request.Experiment,N-Negative,Substance
628,3. Why do you set S=1 in the experiments? What’s the importance of S?,Request,Request.Explanation,U-Neutral,Substance
629,4. I think it is quite surprising the AutoLoss can resolve mode collapse in GANs.,Evaluative,Evaluative,U-Neutral,Soundness/Correctness
630,I think more analysis is needed to support this claim.,Request,Request.Explanation,U-Neutral,Substance
631,"5. The evaluation metric of multi-task MT is quite weird. Normally people report BLEU, whereas the authors use PPL.",Evaluative,Evaluative,N-Negative,Substance
632,"6. According to https://github.com/pfnet-research/chainer-gan-lib, I think the bested reported DCGAN results is not 6.16 on CIFAR-10 and people still found other tricks such as spectral-norm is needed to prevent mode-collapse.",Fact,Fact,,
634,1. The usage of footnote 2 is incorrect.,Request,Request.Typo,N-Negative,Clarity
635,"2. In references, some words should be capitalized properly such as gan->GAN.",Request,Request.Typo,U-Neutral,Clarity
636,This paper introduced a proximal approach to optimize neural networks by linearizing the network output instead of the loss function.,Structuring,Structuring.Summary,,
637,"They demonstrate their algorithm on multi-class hinge loss, where they can show that optimal step size can be computed in close form without significant additional cost.",Structuring,Structuring.Summary,,
638,Their experimental results showed competitive performance to SGD/Adam on the same network architectures.,Evaluative,Evaluative,P-Positive,Substance
639,1.,Structuring,Structuring.Heading,,
640,Figure 1 is crucial to the algorithm design as it aims to prove that Loss-Preserving Linearization (LPL) preserves information on loss function.,Evaluative,Evaluative,P-Positive,Substance
641,"While the authors provided numerical plots to compare it with the SGD linearization, I personally prefer to see some analytically comparsion between SGD linearization and LPL even on the simplest case.",Evaluative,Evaluative,N-Negative,Meaningful Comparison
642,An appendix with more numerical comparisons on other loss functions might also be insightful.,Evaluative,Evaluative,N-Negative,Clarity
643,2. It seems LPL is mainly compared to SGD for convergence (e.g. Fig 2).,Fact,Fact,,
644,In Table 2 I saw some optimizers end up with much lower test accuracy.,Evaluative,Evaluative,N-Negative,Soundness/Correctness
645,Can the authors show the convergence plots of these methods (similar to Figure 2)?,Request,Request.Experiment,U-Neutral,Substance
646,"After reading the authors' response, I'm revising my score upwards from 5 to 6.",Other,Other,,
647,"The authors propose a defense against adversarial examples, that is inspired by ""non local means filtering"".",Structuring,Structuring.Summary,,
648,"The underlying assumption seems to be that, at feature level, adversarial examples manifest as IID noise in feature maps, which can be ""filtered away"" by using features from other images.",Structuring,Structuring.Summary,,
649,"While this assumption seems plausible,  no analysis has been done to verify it in a systematic way.",Evaluative,Evaluative,N-Negative,Substance
650,Some examples of verifying this are:,Structuring,Structuring.Heading,,
651,1. How does varying the number of nearest neighbors change the network behavior?,Request,Request.Explanation,U-Neutral,Soundness/Correctness
652,"2. At test time, a fixed number of images are used for denoising - how does the choice of these images change accuracy or adversarial robustness?",Request,Request.Explanation,U-Neutral,Soundness/Correctness
653,"3. Does just simple filtering of the feature map, say, by local averaging, perform equally well?",Request,Request.Clarification,U-Neutral,Soundness/Correctness
654,4. When do things start to break down? I imagine randomly replacing feature map values (i.e. with very poor nearest neighbors) will cause robustness and accuracy to go down - was this tested?,Request,Request.Explanation,U-Neutral,Soundness/Correctness
655,"Based on the paper of Athalye et. al., really the only method worth comparing to for adversarial defense, is adversarial training.",Fact,Fact,,
656,It is hard to judge absolute adversarial robustness performance without a baseline of adversarial training.,Fact,Fact,,
666,"The authors extend an existing approach to adaptive softmax classifiers used for the output component of neural language models into the input component, once again allowing tying between the embedding and softmax.",Structuring,Structuring.Quote,,
667,"This fills a significant gap in the language modeling architecture space, and the perplexity results bear out the advantages of combining adaptively-sized representations with weight tying.",Fact,Fact,,
668,"While the advance is in some sense fairly incremental, the centrality of unsupervised language modeling to modern deep NLP (ELMo, BERT, etc.) implies that perplexity improvements as large as this one may have meaningful downstream effects on performance on other tasks.",Fact,Fact,,
669,Some things I noticed:,Structuring,Structuring.Heading,,
670,"- One comparison that I believe is missing (I could be misreading the tables) is comparing directly to Merity et al.'s approach (adaptive softmax but fixed embedding/softmax dimension among the bands). Presumably you're faster, but is there a perplexity trade-off?",Evaluative,Evaluative,N-Negative,Meaningful Comparison
671,- The discussion/explanation of the differing performance of tying or not tying each part of the embedding weights for the different datasets is confusing; I think it could benefit from tightening up the wording but mostly I just had to read it a couple times. Perhaps all that's complicated is the distinction between embedding and projection weights; it would definitely be helpful to be as explicit about that as possible upfront.,Request,Request.Edit,N-Negative,Clarity
672,- The loss by frequency-bin plots are really fantastic.,Evaluative,Evaluative,P-Positive,Substance
673,You could also try a scatterplot of log freq vs. average loss by individual word/BPE token.,Request,Request.Experiment,U-Neutral,Substance
674,- Do you have thoughts as to why full-softmax BPE is worse than adaptive softmax word level?,Request,Request.Explanation,N-Negative,Meaningful Comparison
675,That goes against the current (industry) conventional wisdom in machine translation and large-scale language modeling that BPE is solidly better than word-level approaches because it tackles the softmax bottleneck while also sharing morphological information between words.,Evaluative,Evaluative,N-Negative,Soundness/Correctness
676,This paper studies the characteristics of representations and their roles in neural network expressiveness.,Structuring,Structuring.Summary,,
677,The results  are overall not very impressive.,Evaluative,Evaluative,N-Negative,Motivation/Impact
678,"1. There are many characteristics of representations such as scaling, permutation, covariance, correlation, sparsity, dead units, rank.",Fact,Fact,,
679,"The papers discusses some (not surprising) theoretical properties relating to scaling, permutation, covariance, correlation, while making less efforts on the more interesting characteristics  sparsity, dead units, rank, mutual information.",Evaluative,Evaluative,N-Negative,Substance
680,Only some heuristic results are obtained for them without rigorous theory.,Evaluative,Evaluative,N-Negative,Soundness/Correctness
681,It would be better if these heuristic arguments can be formed as theorems as well.,Request,Request.Experiment,U-Neutral,Soundness/Correctness
682,"2. Probably the most interesting experimental finding of this paper is that the mutual information between z and output is constant, while the one between z and input strongly depends on the regularizers.",Structuring,Structuring.Summary,,
683,"That is, the dependence between z and y does not vary with regularizers but the one between z and x does.",Fact,Fact,,
684,Is this a coincidence or a general phenomenon? Is there a theoretical explanation?,Request,Request.Explanation,U-Neutral,Soundness/Correctness
685,3.,Structuring,Structuring.Heading,,
687,The role of auxiliary tasks is to improve the generalization performance of the principal task of interest.,Structuring,Structuring.Summary,,
688,"So far, hand-crafted auxiliary tasks are generated, tailored for a problem of interest.",Structuring,Structuring.Summary,,
689,"The current work addresses a meta-learning approach to automatically generate auxiliary tasks suited to the principal task, without human knowledge.",Structuring,Structuring.Summary,,
690,The key components of the method are: (1) meta-generator; (2) multi-task evaluator.,Structuring,Structuring.Summary,,
691,"These two models are trained using the gradient-based meta-learning technique (for instance, MAML).",Structuring,Structuring.Summary,,
692,"The problem of image classification is considered only, while authors claimed the method can be easily applied to other problems as well.",Evaluative,Evaluative,N-Negative,Replicability
694,"- To my best knowledge, the idea of applying the meta-learning to the automatic generation of auxiliary tasks is novel.",Evaluative,Evaluative,P-Positive,Originality
695,- The paper is well written and easy to read.,Evaluative,Evaluative,P-Positive,Clarity
696,"- The method nicely blends a few components such as self-supervised learning, meta-learning, auxiliary tasks into a single model to tackle the meta auxiliary learning.",Evaluative,Evaluative,P-Positive,Substance
697,Weakness:,Structuring,Structuring.Heading,,
698,- The performance gain is not substantial in experiments.,Evaluative,Evaluative,N-Negative,Substance
699,I would like to suggest to use the state-of-the-arts classifier for the principal task and to evaluate how much gain your method can get with the help of auxiliary tasks.,Request,Request.Experiment,N-Negative,Substance
700,You can refer to the state-of-the-arts performance on CIFAR.,,,,
701,"- If the information on the hierarchy of sub-categories is not available, it will be an annoying hyperparameters that should be well tuned.",Evaluative,Evaluative,N-Negative,Substance
712,The privacy definition employed in this work is problematic.,Evaluative,Evaluative,N-Negative,Soundness/Correctness
713,"The authors claim that ""Privacy can be quantified by the difficulty of reconstructing raw data via a generative model"".",Evaluative,Evaluative,N-Negative,Soundness/Correctness
714,This is not justified sufficiently.,Evaluative,Evaluative,N-Negative,Soundness/Correctness
715,Why larger reconstruction error achieves stronger privacy protection? I could not find any formal relationship between reconstruction error and privacy.,Evaluative,Evaluative,N-Negative,Substance
716,The proposed method is not appropriately compared with the other methods in experiments.,Evaluative,Evaluative,N-Negative,Meaningful Comparison
717,In Fig. 3 the author claim that the proposed method dominates the other methods in terms of privacy and utility but this is not correct.,Evaluative,Evaluative,N-Negative,Meaningful Comparison
718,"At the specific point that the proposed method is evaluated with MNIST and Sound, it achieves better utility and better ""privacy"".",Evaluative,Evaluative,N-Negative,Soundness/Correctness
719,"However, the Pareto front of the proposed method is concentrated on a specific point.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
720,"For example, the proposed method does not achieve high ""privacy"" as ""noisy"" does.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
721,"In this sense, the proposed method is not comparable with ""noisy"".",Evaluative,Evaluative,N-Negative,Meaningful Comparison
722,"In my understanding, this concentration occurs because the range of \lambda is inappropriately set.",Evaluative,Evaluative,N-Negative,Substance
723,This kind of regularization parameter should be exponentially varied so that the privacy-utility Pareto front covers a wide range.,Evaluative,Evaluative,N-Negative,Substance
724,--,Structuring,Structuring.Heading,,
726,"In Eq. 1, the utility is evaluated as the probability Yi=Yi'.",Evaluative,Evaluative,N-Negative,Substance
727,What randomness is considered in this probability?,Request,Request.Clarification,N-Negative,Substance
728,"In Eq 2, privacy is defined as maxmin of |Ii - Ii'|.",Evaluative,Evaluative,N-Negative,Substance
729,Do you mean privacy guaranteed by the proposed method is different for each data? This should be defined as expectation over T or max over T.,Request,Request.Clarification,N-Negative,Substance
730,"In page 4. ""The reason we choose this specific architecture is that an exactly reversed mode is intuitively the mode powerful adversarial against the Encoder."" I could not find any justification for this setting. Why ""exactly reversed mode"" can be the most powerful adversary? What is an exactly reversed mode?",Request,Request.Explanation,N-Negative,Substance
731,Minimization of Eq. 3 and Eq. 4 contradict each other and the objective function does not converge obviously.,Evaluative,Evaluative,N-Negative,Substance
732,The resulting model would thus be highly affected by the setting of n and k.,Evaluative,Evaluative,N-Negative,Substance
733,How can you choose k and n?,Request,Request.Explanation,N-Negative,Substance
734,"This paper proposed a general framework, DeepTwist, for model compression.",Structuring,Structuring.Heading,,
735,The so-called weight distortion procedure is added into the training every several epochs.,Structuring,Structuring.Heading,,
736,Three applications are shown to demonstrate the usage of the proposed approach.,Structuring,Structuring.Heading,,
737,"Overall, I think the novelty of the paper is very limited, as all the weight distortion algorithms in the paper can be formulated as the proximal function in proximal gradient descent.",Evaluative,Evaluative,N-Negative,Originality
738,See http://www.stat.cmu.edu/~ryantibs/convexopt-S15/scribes/08-prox-grad-scribed.pdf for a reference.,Evaluative,Evaluative,N-Negative,Originality
739,"Specifically, the proposed framework can be easily reformulated as a loss function plus a regularizer for proximal gradient.",Fact,Fact,,
740,"Using gradient descent (GD), there will be two steps: (1) finding a new solution using GD, and (2) project the new solution using proximal function.",Fact,Fact,,
741,"Now in deep learning, since SGD is used for optimization, several steps are need to locate reasonable solutions, i.e. the Distortion Step in the framework.",Fact,Fact,,
742,Then proximal function can be applied directly after Distortion Step to project the solutions.,Fact,Fact,,
743,"In this way, we can easily see that the proposed framework is a stochastic version of proximal gradient descent.",Evaluative,Evaluative,N-Negative,Originality
744,"Since SGD is used for training, several minibatches are needed to achieve a relatively stable solution for projection using the proximal function, which is exactly the proposed framework in Fig. 1.",Fact,Fact,,
745,"PS: After discussion, I think the motivation of the method is not clear to understand why the proposed method works.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
746,"The paper proposes a neural net implementation of counterfactual regret minimization where 2 networks are learnt, one for estimating the cumulative regret (used to derive the immediate policy) and the other one for estimating a cumulative mixture policy.",Structuring,Structuring.Summary,,
747,In addition the authors also propose an original MC sampling strategy which generalize outcome and external sampling strategies.,Structuring,Structuring.Summary,,
748,The paper is interesting and easy to read. My main concern is about the feasibility of using a neural networks to learn cumulative quantities.,Evaluative,Evaluative,N-Negative,Soundness/Correctness
749,The problem of learning cumulative quantities in a neural net is that we need two types of samples:,Fact,Fact,,
750,"- the positive examples: samples from which we train our network to predict its own value plus the new quantity,",Fact,Fact,,
751,but also:,Fact,Fact,,
752,"- the negative examples: samples from which we should train the network to predict 0, or any desired initial value.",Fact,Fact,,
753,"However in the approach proposed here, the negative examples are missing.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
754,So the network is not trained to predict 0 (or any initial values) for a newly encountered state.,Evaluative,Evaluative,N-Negative,Soundness/Correctness
755,"And since neural networks generalize (very well...) to states that have not been sampled yet, the network would predict an arbitrary values in states that are visited for the first time.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
756,"For example the network predicting the cumulative regret may generalize to large values at newly visited states, instead of predicting a value close to 0.",Evaluative,Evaluative,N-Negative,Replicability
757,"The resulting policy can be arbitrarily different from an exploratory (close to uniform) policy, which would be required to minimize regret from a newly visited state.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
758,"Then, even if that state is visited frequently in the future, this error in prediction will never be corrected because the target cumulative regret depends on the previous prediction.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
759,So there is no guarantee this algorithm will minimise the overall regret.,Evaluative,Evaluative,N-Negative,Soundness/Correctness
760,"This is a well known problem for exploration (regret minimization) in reinforcement learning as well (see e.g. the work on pseudo-counts [Bellemare et al., 2016, Unifying Count-Based Exploration and Intrinsic Motivation] as one possible approach based on learning a density model).",Fact,Fact,,
761,"Here, maybe a way to alleviate this problem would be to generate negative samples (where the network would be trained to predict low cumulative values) by following a different (possibly more exploratory) policy.",Fact,Fact,,
763,- It does not seem necessary to predict cumulative mixture policies (ASN network).,Evaluative,Evaluative,N-Negative,Soundness/Correctness
764,One could train a mixture policy network to directly predict the current policy along trajectories generated by MC.,Fact,Fact,,
765,"Since the samples would be generated according to the current policy \sigma_t, any information nodes I_i would be sampled proportionally to \pi^{\sigma^t}_i(I_i), which is the same probability as in the definition of the mixture policy (4).",Fact,Fact,,
766,This would remove the need to learn a cumulative quantity.,Evaluative,Evaluative,N-Negative,Soundness/Correctness
767,"- It would help to have a discussion about how to implement (7), for example do you use a target network to keep the target value R_t+r_t fixed for several steps?",Request,Request.Explanation,N-Negative,Replicability
768,- It is not clear how the initialisation (10) is implemented.,Evaluative,Evaluative,N-Negative,Replicability
769,"Since you assume the number of information nodes is large, you cannot minimize the l2 loss over all states. Do you assume you generate states by following some policy? Which policy?",Request,Request.Explanation,N-Negative,Replicability
770,Summary,Structuring,Structuring.Heading,,
771,-------,Structuring,Structuring.Heading,,
772,This paper describes a model for musical timbre transfer which builds on recent developments in domain- and style transfer.,Structuring,Structuring.Summary,,
773,"The proposed method is designed to be many-to-many, and uses a single pair of encoders and decoders with additional conditioning inputs to select the source and target domains (timbres).",Structuring,Structuring.Summary,,
774,"The method is evaluated on a collection of individual note-level recordings from 12 instruments, grouped into four families which are used as domains.",Structuring,Structuring.Summary,,
